type	key	nevents	nfiles	size_TB	dataset
MC	ZJetsToQQ_HT400to800	181710909	961	0.574	/Zto2Q-4Jets_Bin-HT-400to800_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ZJetsToQQ_HT800to1500	51509657	456	0.216	/Zto2Q-4Jets_Bin-HT-800to1500_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ZJetsToQQ_HT1500to2500	67205770	557	0.322	/Zto2Q-4Jets_Bin-HT-1500to2500_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v2/NANOAODSIM
MC	ZJetsToQQ_HT2500toInf	41893516	495	0.220	/Zto2Q-4Jets_Bin-HT-2500_TuneCP5_13p6TeV_madgraphMLM-pythia8/RunIII2024Summer24NanoAODv15-150X_mcRun3_2024_realistic_v2-v3/NANOAODSIM
DATA	JetMET0_Run2025B-PromptReco-v1	13561943	91	0.015	/JetMET0/Run2025B-PromptReco-v1/NANOAOD
DATA	JetMET0_Run2025C-PromptReco-v1	155327920	524	0.319	/JetMET0/Run2025C-PromptReco-v1/NANOAOD
DATA	JetMET0_Run2025C-PromptReco-v2	81725663	290	0.165	/JetMET0/Run2025C-PromptReco-v2/NANOAOD
DATA	JetMET0_Run2025D-PromptReco-v1	257411297	944	0.537	/JetMET0/Run2025D-PromptReco-v1/NANOAOD
DATA	JetMET0_Run2025E-PromptReco-v1	145280947	484	0.299	/JetMET0/Run2025E-PromptReco-v1/NANOAOD
DATA	JetMET0_Run2025F-PromptReco-v1	200915960	723	0.408	/JetMET0/Run2025F-PromptReco-v1/NANOAOD
DATA	JetMET0_Run2025F-PromptReco-v2	76494690	290	0.158	/JetMET0/Run2025F-PromptReco-v2/NANOAOD
DATA	JetMET0_Run2025G-PromptReco-v1	259840950	824	0.510	/JetMET0/Run2025G-PromptReco-v1/NANOAOD
DATA	JetMET1_Run2025B-PromptReco-v1	13551058	92	0.015	/JetMET1/Run2025B-PromptReco-v1/NANOAOD
DATA	JetMET1_Run2025C-PromptReco-v1	155309595	530	0.319	/JetMET1/Run2025C-PromptReco-v1/NANOAOD
DATA	JetMET1_Run2025C-PromptReco-v2	81736350	282	0.165	/JetMET1/Run2025C-PromptReco-v2/NANOAOD
DATA	JetMET1_Run2025D-PromptReco-v1	257342455	930	0.536	/JetMET1/Run2025D-PromptReco-v1/NANOAOD
DATA	JetMET1_Run2025E-PromptReco-v1	145256476	492	0.299	/JetMET1/Run2025E-PromptReco-v1/NANOAOD
DATA	JetMET1_Run2025F-PromptReco-v1	200859929	715	0.408	/JetMET1/Run2025F-PromptReco-v1/NANOAOD
DATA	JetMET1_Run2025F-PromptReco-v2	76479375	287	0.158	/JetMET1/Run2025F-PromptReco-v2/NANOAOD
DATA	JetMET1_Run2025G-PromptReco-v1	259876805	836	0.510	/JetMET1/Run2025G-PromptReco-v1/NANOAOD
DATA	Muon0_Run2025B-PromptReco-v1	5602078	77	0.007	/Muon0/Run2025B-PromptReco-v1/NANOAOD
DATA	Muon0_Run2025C-PromptReco-v1	250835953	638	0.358	/Muon0/Run2025C-PromptReco-v1/NANOAOD
DATA	Muon0_Run2025C-PromptReco-v2	148575745	356	0.213	/Muon0/Run2025C-PromptReco-v2/NANOAOD
DATA	Muon0_Run2025D-PromptReco-v1	479676562	1166	0.698	/Muon0/Run2025D-PromptReco-v1/NANOAOD
DATA	Muon0_Run2025E-PromptReco-v1	265645863	606	0.388	/Muon0/Run2025E-PromptReco-v1/NANOAOD
DATA	Muon0_Run2025F-PromptReco-v1	377119912	884	0.544	/Muon0/Run2025F-PromptReco-v1/NANOAOD
DATA	Muon0_Run2025F-PromptReco-v2	143519758	344	0.208	/Muon0/Run2025F-PromptReco-v2/NANOAOD
DATA	Muon0_Run2025G-PromptReco-v1	442329683	1009	0.629	/Muon0/Run2025G-PromptReco-v1/NANOAOD
DATA	Muon1_Run2025B-PromptReco-v1	5598676	77	0.007	/Muon1/Run2025B-PromptReco-v1/NANOAOD
DATA	Muon1_Run2025C-PromptReco-v1	250819768	644	0.358	/Muon1/Run2025C-PromptReco-v1/NANOAOD
DATA	Muon1_Run2025C-PromptReco-v2	148565659	350	0.213	/Muon1/Run2025C-PromptReco-v2/NANOAOD
DATA	Muon1_Run2025D-PromptReco-v1	479642866	1159	0.698	/Muon1/Run2025D-PromptReco-v1/NANOAOD
DATA	Muon1_Run2025E-PromptReco-v1	265630211	611	0.388	/Muon1/Run2025E-PromptReco-v1/NANOAOD
DATA	Muon1_Run2025F-PromptReco-v1	377092035	891	0.544	/Muon1/Run2025F-PromptReco-v1/NANOAOD
DATA	Muon1_Run2025F-PromptReco-v2	143511119	345	0.208	/Muon1/Run2025F-PromptReco-v2/NANOAOD
DATA	Muon1_Run2025G-PromptReco-v1	442232031	1003	0.630	/Muon1/Run2025G-PromptReco-v1/NANOAOD
