# label=2017UL_v15_MC
# source=/tmp/nano_v15_local.root
# columns: tree	branch	type	lenVar
Events	GenJetAK8_nBHadrons	UChar_t	nGenJetAK8
Events	GenJetAK8_nCHadrons	UChar_t	nGenJetAK8
Events	GenJetAK8_partonFlavour	Short_t	nGenJetAK8
Events	GenJetAK8_phi	Float_t	nGenJetAK8
Events	GenJetAK8_pt	Float_t	nGenJetAK8
Events	GenJet_eta	Float_t	nGenJet
Events	GenJet_hadronFlavour	UChar_t	nGenJet
Events	GenJet_mass	Float_t	nGenJet
Events	GenJet_nBHadrons	UChar_t	nGenJet
Events	GenJet_nCHadrons	UChar_t	nGenJet
Events	GenJet_partonFlavour	Short_t	nGenJet
Events	GenJet_phi	Float_t	nGenJet
Events	GenJet_pt	Float_t	nGenJet
Events	GenMET_phi	Float_t	
Events	GenMET_pt	Float_t	
Events	GenPart_eta	Float_t	nGenPart
Events	GenPart_genPartIdxMother	Short_t	nGenPart
Events	GenPart_iso	Float_t	nGenPart
Events	GenPart_mass	Float_t	nGenPart
Events	GenPart_pdgId	Int_t	nGenPart
Events	GenPart_phi	Float_t	nGenPart
Events	GenPart_pt	Float_t	nGenPart
Events	GenPart_status	Int_t	nGenPart
Events	GenPart_statusFlags	UShort_t	nGenPart
Events	GenProton_isPU	Bool_t	nGenProton
Events	GenProton_px	Float_t	nGenProton
Events	GenProton_py	Float_t	nGenProton
Events	GenProton_pz	Float_t	nGenProton
Events	GenProton_vz	Float_t	nGenProton
Events	GenVisTau_charge	Short_t	nGenVisTau
Events	GenVisTau_eta	Float_t	nGenVisTau
Events	GenVisTau_genPartIdxMother	Short_t	nGenVisTau
Events	GenVisTau_mass	Float_t	nGenVisTau
Events	GenVisTau_phi	Float_t	nGenVisTau
Events	GenVisTau_pt	Float_t	nGenVisTau
Events	GenVisTau_status	UChar_t	nGenVisTau
Events	GenVtx_t0	Float_t	
Events	GenVtx_x	Float_t	
Events	GenVtx_y	Float_t	
Events	GenVtx_z	Float_t	
Events	Generator_binvar	Float_t	
Events	Generator_id1	Int_t	
Events	Generator_id2	Int_t	
Events	Generator_scalePDF	Float_t	
Events	Generator_weight	Float_t	
Events	Generator_x1	Float_t	
Events	Generator_x2	Float_t	
Events	Generator_xpdf1	Float_t	
Events	Generator_xpdf2	Float_t	
Events	HLT_AK4CaloJet100	Bool_t	
Events	HLT_AK4CaloJet120	Bool_t	
Events	HLT_AK4CaloJet30	Bool_t	
Events	HLT_AK4CaloJet40	Bool_t	
Events	HLT_AK4CaloJet50	Bool_t	
Events	HLT_AK4CaloJet80	Bool_t	
Events	HLT_AK4PFJet100	Bool_t	
Events	HLT_AK4PFJet120	Bool_t	
