# label=2016B1_v9_Data
# source=root://cms-xrd-global.cern.ch//store/data/Run2016B/JetHT/NANOAOD/ver1_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/2430000/877D2E27-E1EB-6244-BBCC-1730058E95A4.root
# columns: tree	branch	type	lenVar
Events	HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV_p20	Bool_t	
Events	HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV_p20	Bool_t	
Events	HLT_AK8PFHT650_TrimR0p1PT0p03Mass50	Bool_t	
Events	HLT_AK8PFHT700_TrimR0p1PT0p03Mass50	Bool_t	
Events	HLT_AK8PFJet360_TrimMass30	Bool_t	
Events	HLT_BTagMu_DiJet110_Mu5	Bool_t	
Events	HLT_BTagMu_DiJet20_Mu5	Bool_t	
Events	HLT_BTagMu_DiJet40_Mu5	Bool_t	
Events	HLT_BTagMu_DiJet70_Mu5	Bool_t	
Events	HLT_BTagMu_Jet300_Mu5	Bool_t	
Events	HLT_CaloJet500_NoJetID	Bool_t	
Events	HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight	Bool_t	
Events	HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_BTagCSV_p067	Bool_t	
Events	HLT_DiCentralPFJet55_PFMET110	Bool_t	
Events	HLT_DiMu9_Ele9_CaloIdL_TrackIdL	Bool_t	
Events	HLT_DiPFJet15_FBEta3_NoCaloMatched	Bool_t	
Events	HLT_DiPFJet15_NoCaloMatched	Bool_t	
Events	HLT_DiPFJet25_FBEta3_NoCaloMatched	Bool_t	
Events	HLT_DiPFJet25_NoCaloMatched	Bool_t	
Events	HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu140	Bool_t	
Events	HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu80	Bool_t	
Events	HLT_DiPFJetAve100_HFJEC	Bool_t	
Events	HLT_DiPFJetAve140	Bool_t	
Events	HLT_DiPFJetAve15_HFJEC	Bool_t	
Events	HLT_DiPFJetAve160_HFJEC	Bool_t	
Events	HLT_DiPFJetAve200	Bool_t	
Events	HLT_DiPFJetAve220_HFJEC	Bool_t	
Events	HLT_DiPFJetAve25_HFJEC	Bool_t	
Events	HLT_DiPFJetAve260	Bool_t	
Events	HLT_DiPFJetAve300_HFJEC	Bool_t	
Events	HLT_DiPFJetAve320	Bool_t	
Events	HLT_DiPFJetAve35_HFJEC	Bool_t	
Events	HLT_DiPFJetAve40	Bool_t	
Events	HLT_DiPFJetAve400	Bool_t	
Events	HLT_DiPFJetAve500	Bool_t	
Events	HLT_DiPFJetAve60	Bool_t	
Events	HLT_DiPFJetAve60_HFJEC	Bool_t	
Events	HLT_DiPFJetAve80	Bool_t	
Events	HLT_DiPFJetAve80_HFJEC	Bool_t	
Events	HLT_DiSC30_18_EIso_AND_HE_Mass70	Bool_t	
Events	HLT_Dimuon0_Jpsi_Muon	Bool_t	
Events	HLT_Dimuon0_Phi_Barrel	Bool_t	
Events	HLT_Dimuon0_Upsilon_Muon	Bool_t	
Events	HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing	Bool_t	
Events	HLT_Dimuon0er16_Jpsi_NoVertexing	Bool_t	
Events	HLT_Dimuon10_Jpsi_Barrel	Bool_t	
Events	HLT_Dimuon13_PsiPrime	Bool_t	
Events	HLT_Dimuon13_Upsilon	Bool_t	
Events	HLT_Dimuon16_Jpsi	Bool_t	
Events	HLT_Dimuon20_Jpsi	Bool_t	
Events	HLT_Dimuon6_Jpsi_NoVertexing	Bool_t	
Events	HLT_Dimuon8_PsiPrime_Barrel	Bool_t	
Events	HLT_Dimuon8_Upsilon_Barrel	Bool_t	
Events	HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55	Bool_t	
Events	HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55	Bool_t	
Events	HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelSeedMatch_Mass70	Bool_t	
Events	HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90	Bool_t	
